doctor_id,title,name,city1,city2,region,specialization,reviews,newest_review_date,telemedicine,price,url,fetch_time
778383,Dra.,Natália Pinhal,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,11.0,2022-10-21T21:43:23-03:00,1,400,http://www.doctoralia.com.br/natalia-pinhal,2022-10-28 16:54:32
85585,Dr.,Pedro Paulo Bastos Filho,Salvador,salvador,bahia-ba,ginecologista,159.0,2022-10-25T16:15:05-03:00,1,600,http://www.doctoralia.com.br/pedro-paulo-bastos-filho,2022-10-28 16:54:33
121477,Dra.,Carla Bezerra Cavalcante,Rio de Janeiro,rio-de-janeiro,rio-de-janeiro-rj,ginecologista,89.0,2022-10-27T18:18:21-03:00,0,500,http://www.doctoralia.com.br/carla-bezerra-cavalcante,2022-10-28 16:54:37
181409,Dr.,Leonardo Goodson Do Nascimento,Nova Lima,nova-lima,minas-gerais-mg,ginecologista,167.0,2022-10-27T22:55:34-03:00,1,300,http://www.doctoralia.com.br/leonardo-goodson-do-nascimento,2022-10-28 16:54:38
137465,Dr.,Adyr Jose Suzin,Pato Branco,pato-branco,,ginecologista,19.0,2022-10-28T12:47:51-03:00,0,400,http://www.doctoralia.com.br/adyr-jose-suzin,2022-10-28 16:54:38
655777,Dra.,Monique Valois Ribeiro,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,85.0,2022-10-21T20:42:39-03:00,1,480,http://www.doctoralia.com.br/monique-valois-ribeiro,2022-10-28 16:54:40
642528,Dr.,Jose Roberto Ballester Martinez Junior,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,31.0,2022-07-09T12:48:22-03:00,1,400,http://www.doctoralia.com.br/jose-roberto-ballester-martinez-junior-2,2022-10-28 16:54:43
419765,Dr.,Rogerio Moreno,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,249.0,2022-10-27T12:49:37-03:00,1,500,http://www.doctoralia.com.br/rogerio-moreno,2022-10-28 16:54:45
644354,Dra.,Emybleia Katherine Messias De Meneses Amedi,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,33.0,2022-10-11T19:36:00-03:00,1,500,http://www.doctoralia.com.br/emybleia-katherine-messias-de-meneses-amedi,2022-10-28 16:54:45
79454,Dr.,Oswaldo Prado Cunha,Capelinha,capelinha,minas-gerais-mg,ginecologista,48.0,2022-10-17T17:49:35-03:00,0,190,http://www.doctoralia.com.br/oswaldo-prado-cunha,2022-10-28 16:54:49
525022,Dra.,Mara Diegoli,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,286.0,2022-10-25T22:57:08-03:00,1,,http://www.doctoralia.com.br/mara-diegoli,2022-10-28 16:54:49
500368,Dr.,Luiz Carlos Dorgan Júnior,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,235.0,2022-10-27T19:55:18-03:00,1,600,http://www.doctoralia.com.br/luiz-carlos-dorgan-junior,2022-10-28 16:54:53
452768,Dr.,Alexandre Kim Sangalan Sasaoka,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,258.0,2022-10-25T16:10:58-03:00,1,530,http://www.doctoralia.com.br/alexandre-kim-sangalan-sasaoka,2022-10-28 16:54:54
757681,Dra.,Barbara Keroleny Viana Cabrobó,Juína,juina,mato-grosso-mt,ginecologista,14.0,2022-10-10T14:15:41-03:00,0,400,http://www.doctoralia.com.br/barbara-keroleny-viana-cabrobo,2022-10-28 16:54:56
603733,Dr.,Alexandre Machado Soares,Rio de Janeiro,rio-de-janeiro,rio-de-janeiro-rj,ginecologista,109.0,2022-10-21T09:09:27-03:00,0,500,http://www.doctoralia.com.br/alexandre-machado-soares-2,2022-10-28 16:54:59
207227,Dr.,Rodrigo Miyazima,Paranaita,alta-floresta,mato-grosso-mt,ginecologista,145.0,2022-10-26T18:16:03-03:00,1,140,http://www.doctoralia.com.br/rodrigo-miyazima,2022-10-28 16:55:00
72558,Dra.,Sara De Azevedo Fagundes,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,44.0,2022-10-23T19:36:01-03:00,1,400,http://www.doctoralia.com.br/sara-de-azevedo-fagundes,2022-10-28 16:55:04
467401,Dra.,Alessandra Mollo,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,332.0,2022-10-27T10:10:01-03:00,0,400,http://www.doctoralia.com.br/alessandra-mollo,2022-10-28 16:55:08
235887,Dra.,Giulia Cerutti,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,56.0,2022-10-18T16:54:27-03:00,1,600,http://www.doctoralia.com.br/giulia-cerutti,2022-10-28 16:55:08
752874,Dra.,Rayane Ferreira,Sapiranga,sapiranga,rio-grande-do-sul-rs,mastologista,23.0,2022-10-26T08:16:12-03:00,0,300,http://www.doctoralia.com.br/rayane-ferreira-3,2022-10-28 16:55:11
400148,Dr.,João Marcello Deda E Guedes,Rio de Janeiro,rio-de-janeiro,rio-de-janeiro-rj,ginecologista,207.0,2022-10-27T15:28:10-03:00,0,600,http://www.doctoralia.com.br/joao-marcello-deda-e-guedes,2022-10-28 16:55:12
111325,Dra.,Karen Rocha De Pauw,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,108.0,2022-10-26T16:45:30-03:00,0,480,http://www.doctoralia.com.br/karen-rocha-de-pauw,2022-10-28 16:55:12
766367,Dr.,Pedro Rosa Da Silva Filho,Taguatinga,taguatinga,distrito-federal-df,ginecologista,67.0,2022-10-27T14:59:32-03:00,1,250,http://www.doctoralia.com.br/pedro-rosa-da-silva-filho,2022-10-28 16:55:14
411122,Dra.,Priscila Raposo Do Amaral Manuchaguian,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,103.0,2022-10-25T17:08:14-03:00,0,500,http://www.doctoralia.com.br/priscila-raposo-do-amaral-manuchaguian,2022-10-28 16:55:16
98772,Dra.,Raíle B. Cavalari Polotto,São José do Rio Preto,sao-jose-do-rio-preto,sao-paulo-sp,ginecologista,307.0,2022-10-25T16:54:31-03:00,1,400,http://www.doctoralia.com.br/raile-b-cavalari-polotto,2022-10-28 16:55:16
415533,Dr.,Renato Gil Nisenbaum,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,113.0,2022-10-24T19:32:11-03:00,0,,http://www.doctoralia.com.br/renato-gil-nisenbaum,2022-10-28 16:55:17
359611,Dra.,Wanicleide Leite,João Pessoa,joao-pessoa,paraiba-pb,ginecologista,108.0,2022-10-26T17:06:51-03:00,1,490,http://www.doctoralia.com.br/wanicleide-leite-2,2022-10-28 16:55:21
170342,Dra.,Kênia Machado,Anápolis,anapolis,goias-go,ginecologista,355.0,2022-10-26T12:22:28-03:00,0,800,http://www.doctoralia.com.br/kenia-machado,2022-10-28 16:55:23
405796,Dra.,Alexandra Ongaratto,Curitiba,curitiba,parana-pr,ginecologista,353.0,2022-10-27T19:27:37-03:00,0,500,http://www.doctoralia.com.br/alexandra-ongaratto,2022-10-28 16:55:25
283012,Dr.,Jozildo Souza,Recife,recife,pernambuco-pe,ginecologista,110.0,2022-10-20T19:51:47-03:00,1,300,http://www.doctoralia.com.br/jozildo-souza,2022-10-28 16:55:28
738265,Dra.,Cândida Amélia Marinho De Oliveira,Barbacena,sao-joao-del-rei,minas-gerais-mg,ginecologista,85.0,2022-10-24T17:36:55-03:00,0,350,http://www.doctoralia.com.br/candida-amelia-marinho-de-oliveira,2022-10-28 16:55:29
483656,Dr.,Edvaldo Cavalcante,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,59.0,2022-09-28T10:12:08-03:00,0,950,http://www.doctoralia.com.br/edvaldo-cavalcante,2022-10-28 16:55:31
354782,Dra.,Rossana Christine Moura Rebelo,Natal,natal,rio-grande-do-norte-rn,ginecologista,339.0,2022-10-21T09:44:59-03:00,1,300,http://www.doctoralia.com.br/rossana-christine-moura-rebelo,2022-10-28 16:55:31
709277,Dr.,Orlando José De Freitas,Barueri,barueri,sao-paulo-sp,ginecologista,65.0,2022-10-10T14:42:07-03:00,1,550,http://www.doctoralia.com.br/orlando-jose-de-freitas,2022-10-28 16:55:36
163942,Dra.,Thais Villela Peterson,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,67.0,2022-10-18T15:32:08-03:00,0,Consultar valores,http://www.doctoralia.com.br/thais-villela-peterson,2022-10-28 16:55:36
337290,Dr.,Lourivaldo Rodrigues De Sousa,Manaus,manaus,amazonas-am,ginecologista,11.0,2022-10-22T11:37:13-03:00,0,800,http://www.doctoralia.com.br/lourivaldo-rodrigues-de-sousa,2022-10-28 16:55:40
459458,Dr.,Paul Herbert Dreyer Neto,Cabo Frio,cabo-frio,rio-de-janeiro-rj,ginecologista,110.0,2022-10-28T15:23:33-03:00,0,350,http://www.doctoralia.com.br/paul-herbert-dreyer-neto,2022-10-28 16:55:43
180570,Dr.,Paulo Jorge De Paula Xavier,Colombo,curitiba,parana-pr,ginecologista,437.0,2022-10-27T18:31:10-03:00,0,250,http://www.doctoralia.com.br/paulo-jorge-de-paula-xavier,2022-10-28 16:55:46
540487,Dra.,Denise Joffily Pereira Da Costa Pinheiro,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,68.0,2022-10-24T16:31:18-03:00,1,500,http://www.doctoralia.com.br/denise-joffily-pereira-da-costa-pinheiro,2022-10-28 16:55:47
97003,Dra.,Juliana Martha Soares,Santo André - Pb,sao-bernardo-do-campo,paraiba-pb,ginecologista,97.0,2022-10-25T19:11:07-03:00,1,400,http://www.doctoralia.com.br/juliana-martha-soares,2022-10-28 16:55:49
662479,Dra.,Elielma Morais,Águas Claras,aguas-claras,distrito-federal-df,nutrologo,27.0,2022-03-11T11:03:35-03:00,1,300,http://www.doctoralia.com.br/elielma-morais,2022-10-28 16:55:56
722754,Dr.,Murilo Renato Matos Machado,Campo Formoso,juazeiro,bahia-ba,ginecologista,56.0,2022-10-23T21:00:48-03:00,1,200,http://www.doctoralia.com.br/murilo-renato-matos-machado,2022-10-28 16:55:57
642411,Dra.,Paula S. Izquerdo,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,124.0,2022-10-26T17:42:00-03:00,1,300,http://www.doctoralia.com.br/paula-s-izquerdo,2022-10-28 16:55:57
106438,Dr.,Francisco Carlos De Oliveira Lopes,Londrina,cambe,parana-pr,ginecologista,35.0,2022-10-28T08:15:14-03:00,1,450,http://www.doctoralia.com.br/francisco-carlos-de-oliveira-lopes,2022-10-28 16:55:59
458499,Dr.,Carlos Politano,Campinas,campinas,sao-paulo-sp,ginecologista,647.0,2022-10-21T16:46:11-03:00,1,400,http://www.doctoralia.com.br/carlos-politano,2022-10-28 16:56:04
249524,Dra.,Maria Christina Pieski Ludwig,São Paulo,sao-paulo,sao-paulo-sp,ginecologista,52.0,2022-09-27T14:06:06-03:00,1,450,http://www.doctoralia.com.br/maria-christina-pieski-ludwig,2022-10-28 16:56:06
23794,Dr.,João Carlos Neves Alves,Colatina,colatina,espirito-santo-es,ginecologista,283.0,2022-10-27T12:07:30-03:00,0,250,http://www.doctoralia.com.br/joao-carlos-neves-alves,2022-10-28 16:56:08
710993,Dra.,Francine Castro,Itajaí,itajai,santa-catarina-sc,mastologista,75.0,2022-10-26T15:10:03-03:00,1,400,http://www.doctoralia.com.br/francine-castro,2022-10-28 16:56:09
